stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"267-01","","諏訪","","40.514865","141.514281","Z267-01","","0","","","",""
"144-01","","北青葉","","40.513953","141.510736","Z144-01","","0","","","",""
"116-01","","蟇平","","40.512987","141.506634","Z116-01","","0","","","",""
"314-03","","館花下","","40.511820","141.503452","Z314-03","","0","","","",""
"103-01","","柏崎二丁目","","40.510476","141.499973","Z103-01","","0","","","",""
"324-01","","千葉高校通","","40.507909","141.495259","Z324-01","","0","","","",""
"225-03","","鍛冶町","","40.506241","141.491407","Z225-03","","0","","","",""
"238-02","","常泉下","","40.505677","141.489275","Z238-02","","0","","","",""
"339-02","","図書館前","","40.504554","141.487134","Z339-02","","0","","","",""
"328-02","","長者小学校前","","40.502935","141.484821","Z328-02","","0","","","",""
"303-05","","平中通","","40.502104","141.482801","Z303-05","","0","","","",""
"419-01","","新井田道","","40.511605","141.533929","Z419-01","","0","","","",""
"419-02","","新井田道","","40.510472","141.533361","Z419-02","","0","","","",""
"513-01","","旧シーガルビューホテル","","40.538806","141.571722","Z513-01","","0","","","",""
"164-01","","小舟渡","","40.541270","141.571090","Z164-01","","0","","","",""
"265-01","","恵比須浜","","40.540084","141.565969","Z265-01","","0","","","",""
"616-01","","岬町","","40.538417","141.562481","Z616-01","","0","","","",""
"115-01","","蕪島町","","40.536009","141.559567","Z115-01","","0","","","",""
"123-01","","上鮫","","40.533863","141.558083","Z123-01","","0","","","",""
"210-02","","鮫","","40.530939","141.556089","Z210-02","","0","","","",""
"123-02","","上鮫","","40.533625","141.557858","Z123-02","","0","","","",""
"635-01","","高等支援学校前","","40.534589","141.570897","Z635-01","","0","","","",""
"213-01","","鮫中学校前","","40.534143","141.566550","Z213-01","","0","","","",""
"214-01","","さめ保育園前","","40.535695","141.564753","Z214-01","","0","","","",""
"213-02","","鮫中学校前","","40.534191","141.566456","Z213-02","","0","","","",""
"220-04","","忍町","","40.529450","141.556967","Z220-04","","0","","","",""
"161-02","","小長根","","40.527891","141.559375","Z161-02","","0","","","",""
"212-02","","鮫消防分署前","","40.525219","141.564885","Z212-02","","0","","","",""
"613-01","","岬台団地北口","","40.521653","141.564526","Z613-01","","0","","","",""
"615-03","","岬台団地入口","","40.519615","141.563821","Z615-03","","0","","","",""
"614-01","","岬台団地西口","","40.517883","141.562911","Z614-01","","0","","","",""
"248-01","","白銀台団地","","40.515211","141.558792","Z248-01","","0","","","",""
"250-01","","白銀台郵便局前","","40.514782","141.557139","Z250-01","","0","","","",""
"249-01","","白銀台西口","","40.514031","141.554244","Z249-01","","0","","","",""
"34-01","","大久保通","","40.512905","141.549282","Z34-01","","0","","","",""
"139-01","","北高校前","","40.511886","141.545033","Z139-01","","0","","","",""
"167-01","","是川団地","","40.469708","141.497389","Z167-01","","0","","","",""
"169-01","","是川団地二丁目","","40.467961","141.499433","Z169-01","","0","","","",""
"168-01","","是川団地一丁目","","40.466115","141.502326","Z168-01","","0","","","",""
"26-01","","岩ノ沢","","40.465120","141.504816","Z26-01","","0","","","",""
"218-01","","志民","","40.469615","141.506320","Z218-01","","0","","","",""
"414-01","","楢館","","40.473905","141.508918","Z414-01","","0","","","",""
"237-01","","商業高校前","","40.475937","141.510323","Z237-01","","0","","","",""
"241-03","","八戸公園こどもの国通","","40.478580","141.513079","Z241-03","","0","","","",""
"4-01","","赤坂","","40.481499","141.515381","Z4-01","","0","","","",""
"528-01","","東十日市","","40.483544","141.517688","Z528-01","","0","","","",""
"609-01","","松館口","","40.487090","141.520733","Z609-01","","0","","","",""
"39-01","","大館中学校前","","40.491152","141.522757","Z39-01","","0","","","",""
"703-01","","山道","","40.492937","141.522969","Z703-01","","0","","","",""
"443-01","","報恩会館　根城前","","40.503899","141.462347","Z443-01","","0","","","",""
"278-01","","総合福祉会館前","","40.503255","141.465336","Z278-01","","0","","","",""
"444-01","","根城七丁目","","40.502926","141.468583","Z444-01","","0","","","",""
"445-01","","根城六丁目","","40.502721","141.471604","Z445-01","","0","","","",""
"441-01","","根城三丁目","","40.502425","141.476026","Z441-01","","0","","","",""
"303-03","","平中通","","40.502094","141.480798","Z303-03","","0","","","",""
"550-01","","法師浜","","40.502148","141.618617","Z550-01","","0","","","",""
"707-01","","遙望石","","40.502889","141.617535","Z707-01","","0","","","",""
"318-01","","種差生活館前","","40.503874","141.612524","Z318-01","","0","","","",""
"316-01","","南浜市民サービスセンター","","40.507594","141.609002","Z316-01","","0","","","",""
"708-01","","種差海岸インフォメーションセンター","","40.508903","141.608302","Z708-01","","0","","","",""
